189.8928 	INFO 	Scanner trigger received
190.8851 	INFO 	Scanner trigger received
191.9032 	INFO 	Scanner trigger received
192.9003 	INFO 	Scanner trigger received
193.8977 	INFO 	Scanner trigger received
194.8900 	INFO 	Scanner trigger received
195.9081 	INFO 	Scanner trigger received
196.9052 	INFO 	Scanner trigger received
197.9023 	INFO 	Scanner trigger received
198.9019 	INFO 	Scanner trigger received
199.8919 	INFO 	Scanner trigger received
200.9100 	INFO 	Scanner trigger received
201.9070 	INFO 	Scanner trigger received
202.9053 	INFO 	Scanner trigger received
203.8968 	INFO 	Scanner trigger received
204.9148 	INFO 	Scanner trigger received
205.9122 	INFO 	Scanner trigger received
206.9091 	INFO 	Scanner trigger received
207.9015 	INFO 	Scanner trigger received
208.9198 	INFO 	Scanner trigger received
209.9206 	INFO 	Scanner trigger received
210.9141 	INFO 	Scanner trigger received
211.9063 	INFO 	Scanner trigger received
212.9034 	INFO 	Scanner trigger received
213.8896 	INFO 	Scanner trigger received
214.8865 	INFO 	Scanner trigger received
215.9160 	INFO 	Scanner trigger received
216.8863 	INFO 	Scanner trigger received
217.8936 	INFO 	Scanner trigger received
218.8908 	INFO 	Scanner trigger received
219.8855 	INFO 	Scanner trigger received
220.8888 	INFO 	Scanner trigger received
221.8990 	INFO 	Scanner trigger received
222.8956 	INFO 	Scanner trigger received
223.8932 	INFO 	Scanner trigger received
224.9258 	INFO 	Scanner trigger received
225.9035 	INFO 	Scanner trigger received
226.9005 	INFO 	Scanner trigger received
227.8980 	INFO 	Scanner trigger received
228.8901 	INFO 	Scanner trigger received
229.9083 	INFO 	Scanner trigger received
230.9055 	INFO 	Scanner trigger received
231.9027 	INFO 	Scanner trigger received
232.8994 	INFO 	Scanner trigger received
233.8920 	INFO 	Scanner trigger received
234.9102 	INFO 	Scanner trigger received
235.9076 	INFO 	Scanner trigger received
236.9047 	INFO 	Scanner trigger received
237.8968 	INFO 	Scanner trigger received
238.9151 	INFO 	Scanner trigger received
239.9116 	INFO 	Scanner trigger received
240.9095 	INFO 	Scanner trigger received
241.9017 	INFO 	Scanner trigger received
242.9198 	INFO 	Scanner trigger received
243.8857 	INFO 	Scanner trigger received
244.9145 	INFO 	Scanner trigger received
245.9066 	INFO 	Scanner trigger received
246.9039 	INFO 	Scanner trigger received
247.8890 	INFO 	Scanner trigger received
248.8863 	INFO 	Scanner trigger received
249.9117 	INFO 	Scanner trigger received
250.8859 	INFO 	Scanner trigger received
251.8942 	INFO 	Scanner trigger received
252.8910 	INFO 	Scanner trigger received
253.8885 	INFO 	Scanner trigger received
254.8890 	INFO 	Scanner trigger received
255.8993 	INFO 	Scanner trigger received
256.8959 	INFO 	Scanner trigger received
257.8929 	INFO 	Scanner trigger received
258.8856 	INFO 	Scanner trigger received
259.9033 	INFO 	Scanner trigger received
260.9006 	INFO 	Scanner trigger received
261.8978 	INFO 	Scanner trigger received
262.8904 	INFO 	Scanner trigger received
263.8874 	INFO 	Scanner trigger received
264.9057 	INFO 	Scanner trigger received
265.9027 	INFO 	Scanner trigger received
266.8951 	INFO 	Scanner trigger received
267.8923 	INFO 	Scanner trigger received
268.8925 	INFO 	Scanner trigger received
269.9072 	INFO 	Scanner trigger received
270.9048 	INFO 	Scanner trigger received
271.8971 	INFO 	Scanner trigger received
272.9155 	INFO 	Scanner trigger received
273.9139 	INFO 	Scanner trigger received
274.9099 	INFO 	Scanner trigger received
275.9019 	INFO 	Scanner trigger received
276.8873 	INFO 	Scanner trigger received
277.9185 	INFO 	Scanner trigger received
278.9143 	INFO 	Scanner trigger received
279.9068 	INFO 	Scanner trigger received
280.9038 	INFO 	Scanner trigger received
281.8895 	INFO 	Scanner trigger received
282.8863 	INFO 	Scanner trigger received
283.8855 	INFO 	Scanner trigger received
284.8855 	INFO 	Scanner trigger received
285.8941 	INFO 	Scanner trigger received
286.8915 	INFO 	Scanner trigger received
287.8886 	INFO 	Scanner trigger received
288.8890 	INFO 	Scanner trigger received
289.8987 	INFO 	Scanner trigger received
290.8964 	INFO 	Scanner trigger received
291.8936 	INFO 	Scanner trigger received
292.8855 	INFO 	Scanner trigger received
293.9045 	INFO 	Scanner trigger received
294.9009 	INFO 	Scanner trigger received
295.8983 	INFO 	Scanner trigger received
296.8906 	INFO 	Scanner trigger received
297.8876 	INFO 	Scanner trigger received
298.9058 	INFO 	Scanner trigger received
299.9027 	INFO 	Scanner trigger received
300.8953 	INFO 	Scanner trigger received
301.8924 	INFO 	Scanner trigger received
302.9105 	INFO 	Scanner trigger received
303.9079 	INFO 	Scanner trigger received
304.9046 	INFO 	Scanner trigger received
305.8972 	INFO 	Scanner trigger received
306.9152 	INFO 	Scanner trigger received
307.9127 	INFO 	Scanner trigger received
308.9105 	INFO 	Scanner trigger received
309.9231 	INFO 	Scanner trigger received
310.8876 	INFO 	Scanner trigger received
311.8849 	INFO 	Scanner trigger received
312.9145 	INFO 	Scanner trigger received
313.9068 	INFO 	Scanner trigger received
314.8924 	INFO 	Scanner trigger received
315.8895 	INFO 	Scanner trigger received
316.8867 	INFO 	Scanner trigger received
317.8855 	INFO 	Scanner trigger received
318.8859 	INFO 	Scanner trigger received
319.8941 	INFO 	Scanner trigger received
320.8916 	INFO 	Scanner trigger received
321.8882 	INFO 	Scanner trigger received
322.8905 	INFO 	Scanner trigger received
323.8988 	INFO 	Scanner trigger received
324.8962 	INFO 	Scanner trigger received
325.8932 	INFO 	Scanner trigger received
326.8858 	INFO 	Scanner trigger received
327.9038 	INFO 	Scanner trigger received
328.9011 	INFO 	Scanner trigger received
329.8984 	INFO 	Scanner trigger received
330.8907 	INFO 	Scanner trigger received
331.9090 	INFO 	Scanner trigger received
332.9055 	INFO 	Scanner trigger received
333.9033 	INFO 	Scanner trigger received
334.8955 	INFO 	Scanner trigger received
335.8927 	INFO 	Scanner trigger received
336.9103 	INFO 	Scanner trigger received
337.9081 	INFO 	Scanner trigger received
338.9003 	INFO 	Scanner trigger received
339.8974 	INFO 	Scanner trigger received
340.9157 	INFO 	Scanner trigger received
341.9127 	INFO 	Scanner trigger received
342.9109 	INFO 	Scanner trigger received
343.9022 	INFO 	Scanner trigger received
344.8876 	INFO 	Scanner trigger received
345.8851 	INFO 	Scanner trigger received
346.9150 	INFO 	Scanner trigger received
347.9071 	INFO 	Scanner trigger received
348.8923 	INFO 	Scanner trigger received
349.8897 	INFO 	Scanner trigger received
350.8873 	INFO 	Scanner trigger received
351.8858 	INFO 	Scanner trigger received
352.8881 	INFO 	Scanner trigger received
353.8941 	INFO 	Scanner trigger received
354.8916 	INFO 	Scanner trigger received
355.8904 	INFO 	Scanner trigger received
356.8905 	INFO 	Scanner trigger received
357.8994 	INFO 	Scanner trigger received
358.8965 	INFO 	Scanner trigger received
359.8890 	INFO 	Scanner trigger received
360.8859 	INFO 	Scanner trigger received
361.9041 	INFO 	Scanner trigger received
362.9018 	INFO 	Scanner trigger received
363.8985 	INFO 	Scanner trigger received
364.8909 	INFO 	Scanner trigger received
365.9093 	INFO 	Scanner trigger received
366.9064 	INFO 	Scanner trigger received
367.9039 	INFO 	Scanner trigger received
368.8958 	INFO 	Scanner trigger received
369.9139 	INFO 	Scanner trigger received
370.9113 	INFO 	Scanner trigger received
371.9083 	INFO 	Scanner trigger received
372.9005 	INFO 	Scanner trigger received
373.9190 	INFO 	Scanner trigger received
374.9165 	INFO 	Scanner trigger received
375.9127 	INFO 	Scanner trigger received
376.9052 	INFO 	Scanner trigger received
377.9023 	INFO 	Scanner trigger received
378.8880 	INFO 	Scanner trigger received
379.8850 	INFO 	Scanner trigger received
380.9147 	INFO 	Scanner trigger received
381.9071 	INFO 	Scanner trigger received
382.8927 	INFO 	Scanner trigger received
383.8896 	INFO 	Scanner trigger received
384.8867 	INFO 	Scanner trigger received
385.8876 	INFO 	Scanner trigger received
386.8977 	INFO 	Scanner trigger received
387.8971 	INFO 	Scanner trigger received
388.8915 	INFO 	Scanner trigger received
389.8905 	INFO 	Scanner trigger received
390.8844 	INFO 	Scanner trigger received
391.8995 	INFO 	Scanner trigger received
392.8968 	INFO 	Scanner trigger received
393.8935 	INFO 	Scanner trigger received
394.9074 	INFO 	Scanner trigger received
395.9045 	INFO 	Scanner trigger received
396.9019 	INFO 	Scanner trigger received
397.8937 	INFO 	Scanner trigger received
398.8910 	INFO 	Scanner trigger received
399.9092 	INFO 	Scanner trigger received
400.9058 	INFO 	Scanner trigger received
401.8988 	INFO 	Scanner trigger received
402.8957 	INFO 	Scanner trigger received
403.9134 	INFO 	Scanner trigger received
404.9114 	INFO 	Scanner trigger received
405.9077 	INFO 	Scanner trigger received
406.9005 	INFO 	Scanner trigger received
407.9183 	INFO 	Scanner trigger received
408.9155 	INFO 	Scanner trigger received
409.9134 	INFO 	Scanner trigger received
410.9053 	INFO 	Scanner trigger received
411.9026 	INFO 	Scanner trigger received
412.8877 	INFO 	Scanner trigger received
413.8850 	INFO 	Scanner trigger received
414.8966 	INFO 	Scanner trigger received
415.9073 	INFO 	Scanner trigger received
416.8929 	INFO 	Scanner trigger received
417.8896 	INFO 	Scanner trigger received
418.8876 	INFO 	Scanner trigger received
419.8878 	INFO 	Scanner trigger received
420.8976 	INFO 	Scanner trigger received
421.8959 	INFO 	Scanner trigger received
422.8914 	INFO 	Scanner trigger received
423.8899 	INFO 	Scanner trigger received
424.9024 	INFO 	Scanner trigger received
425.8996 	INFO 	Scanner trigger received
426.8966 	INFO 	Scanner trigger received
427.8889 	INFO 	Scanner trigger received
428.8861 	INFO 	Scanner trigger received
429.9053 	INFO 	Scanner trigger received
430.9015 	INFO 	Scanner trigger received
431.8994 	INFO 	Scanner trigger received
432.8909 	INFO 	Scanner trigger received
433.9093 	INFO 	Scanner trigger received
434.9063 	INFO 	Scanner trigger received
435.8992 	INFO 	Scanner trigger received
436.8958 	INFO 	Scanner trigger received
437.9142 	INFO 	Scanner trigger received
438.9112 	INFO 	Scanner trigger received
439.9080 	INFO 	Scanner trigger received
440.9006 	INFO 	Scanner trigger received
441.9186 	INFO 	Scanner trigger received
442.9162 	INFO 	Scanner trigger received
443.9131 	INFO 	Scanner trigger received
444.9054 	INFO 	Scanner trigger received
445.9025 	INFO 	Scanner trigger received
446.8882 	INFO 	Scanner trigger received
447.8852 	INFO 	Scanner trigger received
448.9106 	INFO 	Scanner trigger received
449.9074 	INFO 	Scanner trigger received
450.8939 	INFO 	Scanner trigger received
451.8900 	INFO 	Scanner trigger received
452.8870 	INFO 	Scanner trigger received
453.8877 	INFO 	Scanner trigger received
454.8977 	INFO 	Scanner trigger received
455.8949 	INFO 	Scanner trigger received
456.8917 	INFO 	Scanner trigger received
457.8847 	INFO 	Scanner trigger received
458.9026 	INFO 	Scanner trigger received
459.8994 	INFO 	Scanner trigger received
460.8968 	INFO 	Scanner trigger received
461.8891 	INFO 	Scanner trigger received
462.8863 	INFO 	Scanner trigger received
463.9046 	INFO 	Scanner trigger received
464.9017 	INFO 	Scanner trigger received
465.8939 	INFO 	Scanner trigger received
466.8910 	INFO 	Scanner trigger received
467.9094 	INFO 	Scanner trigger received
468.9066 	INFO 	Scanner trigger received
469.9037 	INFO 	Scanner trigger received
470.8959 	INFO 	Scanner trigger received
471.9138 	INFO 	Scanner trigger received
472.9107 	INFO 	Scanner trigger received
473.9085 	INFO 	Scanner trigger received
474.9007 	INFO 	Scanner trigger received
475.8864 	INFO 	Scanner trigger received
476.9161 	INFO 	Scanner trigger received
477.9135 	INFO 	Scanner trigger received
478.9058 	INFO 	Scanner trigger received
479.9027 	INFO 	Scanner trigger received
480.8880 	INFO 	Scanner trigger received
481.8855 	INFO 	Scanner trigger received
482.9103 	INFO 	Scanner trigger received
483.9075 	INFO 	Scanner trigger received
484.8929 	INFO 	Scanner trigger received
485.8902 	INFO 	Scanner trigger received
486.8873 	INFO 	Scanner trigger received
487.8875 	INFO 	Scanner trigger received
488.8996 	INFO 	Scanner trigger received
489.8955 	INFO 	Scanner trigger received
490.8920 	INFO 	Scanner trigger received
491.8860 	INFO 	Scanner trigger received
492.9028 	INFO 	Scanner trigger received
493.9003 	INFO 	Scanner trigger received
494.8969 	INFO 	Scanner trigger received
495.8892 	INFO 	Scanner trigger received
496.8863 	INFO 	Scanner trigger received
497.9048 	INFO 	Scanner trigger received
498.9019 	INFO 	Scanner trigger received
499.8941 	INFO 	Scanner trigger received
500.8911 	INFO 	Scanner trigger received
501.9102 	INFO 	Scanner trigger received
502.9068 	INFO 	Scanner trigger received
503.9041 	INFO 	Scanner trigger received
504.8961 	INFO 	Scanner trigger received
505.9147 	INFO 	Scanner trigger received
506.9116 	INFO 	Scanner trigger received
507.9088 	INFO 	Scanner trigger received
508.9008 	INFO 	Scanner trigger received
509.8864 	INFO 	Scanner trigger received
510.9167 	INFO 	Scanner trigger received
511.9136 	INFO 	Scanner trigger received
